bracketNodeId,seasonId,stage,position,matchId,homeSource,awaySource,homeTeamId,awayTeamId,winnerAdvancesTo,loserAdvancesTo,status,mappingStatus,sourceId,sourceLastCheckedAt
wc2026-round_of_32-01,fifa-world-cup-2026,round_of_32,1,,TBD_R32_1_home,TBD_R32_1_away,,,wc2026-round_of_16-01,,unresolved,placeholder_needs_official_confirmation,wiki_main_2026_world_cup,2026-05-23
wc2026-round_of_32-02,fifa-world-cup-2026,round_of_32,2,,TBD_R32_2_home,TBD_R32_2_away,,,wc2026-round_of_16-01,,unresolved,placeholder_needs_official_confirmation,wiki_main_2026_world_cup,2026-05-23
wc2026-round_of_32-03,fifa-world-cup-2026,round_of_32,3,,TBD_R32_3_home,TBD_R32_3_away,,,wc2026-round_of_16-02,,unresolved,placeholder_needs_official_confirmation,wiki_main_2026_world_cup,2026-05-23
wc2026-round_of_32-04,fifa-world-cup-2026,round_of_32,4,,TBD_R32_4_home,TBD_R32_4_away,,,wc2026-round_of_16-02,,unresolved,placeholder_needs_official_confirmation,wiki_main_2026_world_cup,2026-05-23
wc2026-round_of_32-05,fifa-world-cup-2026,round_of_32,5,,TBD_R32_5_home,TBD_R32_5_away,,,wc2026-round_of_16-03,,unresolved,placeholder_needs_official_confirmation,wiki_main_2026_world_cup,2026-05-23
wc2026-round_of_32-06,fifa-world-cup-2026,round_of_32,6,,TBD_R32_6_home,TBD_R32_6_away,,,wc2026-round_of_16-03,,unresolved,placeholder_needs_official_confirmation,wiki_main_2026_world_cup,2026-05-23
wc2026-round_of_32-07,fifa-world-cup-2026,round_of_32,7,,TBD_R32_7_home,TBD_R32_7_away,,,wc2026-round_of_16-04,,unresolved,placeholder_needs_official_confirmation,wiki_main_2026_world_cup,2026-05-23
wc2026-round_of_32-08,fifa-world-cup-2026,round_of_32,8,,TBD_R32_8_home,TBD_R32_8_away,,,wc2026-round_of_16-04,,unresolved,placeholder_needs_official_confirmation,wiki_main_2026_world_cup,2026-05-23
wc2026-round_of_32-09,fifa-world-cup-2026,round_of_32,9,,TBD_R32_9_home,TBD_R32_9_away,,,wc2026-round_of_16-05,,unresolved,placeholder_needs_official_confirmation,wiki_main_2026_world_cup,2026-05-23
wc2026-round_of_32-10,fifa-world-cup-2026,round_of_32,10,,TBD_R32_10_home,TBD_R32_10_away,,,wc2026-round_of_16-05,,unresolved,placeholder_needs_official_confirmation,wiki_main_2026_world_cup,2026-05-23
wc2026-round_of_32-11,fifa-world-cup-2026,round_of_32,11,,TBD_R32_11_home,TBD_R32_11_away,,,wc2026-round_of_16-06,,unresolved,placeholder_needs_official_confirmation,wiki_main_2026_world_cup,2026-05-23
wc2026-round_of_32-12,fifa-world-cup-2026,round_of_32,12,,TBD_R32_12_home,TBD_R32_12_away,,,wc2026-round_of_16-06,,unresolved,placeholder_needs_official_confirmation,wiki_main_2026_world_cup,2026-05-23
wc2026-round_of_32-13,fifa-world-cup-2026,round_of_32,13,,TBD_R32_13_home,TBD_R32_13_away,,,wc2026-round_of_16-07,,unresolved,placeholder_needs_official_confirmation,wiki_main_2026_world_cup,2026-05-23
wc2026-round_of_32-14,fifa-world-cup-2026,round_of_32,14,,TBD_R32_14_home,TBD_R32_14_away,,,wc2026-round_of_16-07,,unresolved,placeholder_needs_official_confirmation,wiki_main_2026_world_cup,2026-05-23
wc2026-round_of_32-15,fifa-world-cup-2026,round_of_32,15,,TBD_R32_15_home,TBD_R32_15_away,,,wc2026-round_of_16-08,,unresolved,placeholder_needs_official_confirmation,wiki_main_2026_world_cup,2026-05-23
wc2026-round_of_32-16,fifa-world-cup-2026,round_of_32,16,,TBD_R32_16_home,TBD_R32_16_away,,,wc2026-round_of_16-08,,unresolved,placeholder_needs_official_confirmation,wiki_main_2026_world_cup,2026-05-23
wc2026-round_of_16-01,fifa-world-cup-2026,round_of_16,1,,winner_wc2026-round_of_32-01,winner_wc2026-round_of_32-02,,,wc2026-quarter_final-01,,unresolved,placeholder_needs_official_confirmation,wiki_main_2026_world_cup,2026-05-23
wc2026-round_of_16-02,fifa-world-cup-2026,round_of_16,2,,winner_wc2026-round_of_32-03,winner_wc2026-round_of_32-04,,,wc2026-quarter_final-01,,unresolved,placeholder_needs_official_confirmation,wiki_main_2026_world_cup,2026-05-23
wc2026-round_of_16-03,fifa-world-cup-2026,round_of_16,3,,winner_wc2026-round_of_32-05,winner_wc2026-round_of_32-06,,,wc2026-quarter_final-02,,unresolved,placeholder_needs_official_confirmation,wiki_main_2026_world_cup,2026-05-23
wc2026-round_of_16-04,fifa-world-cup-2026,round_of_16,4,,winner_wc2026-round_of_32-07,winner_wc2026-round_of_32-08,,,wc2026-quarter_final-02,,unresolved,placeholder_needs_official_confirmation,wiki_main_2026_world_cup,2026-05-23
wc2026-round_of_16-05,fifa-world-cup-2026,round_of_16,5,,winner_wc2026-round_of_32-09,winner_wc2026-round_of_32-10,,,wc2026-quarter_final-03,,unresolved,placeholder_needs_official_confirmation,wiki_main_2026_world_cup,2026-05-23
wc2026-round_of_16-06,fifa-world-cup-2026,round_of_16,6,,winner_wc2026-round_of_32-11,winner_wc2026-round_of_32-12,,,wc2026-quarter_final-03,,unresolved,placeholder_needs_official_confirmation,wiki_main_2026_world_cup,2026-05-23
wc2026-round_of_16-07,fifa-world-cup-2026,round_of_16,7,,winner_wc2026-round_of_32-13,winner_wc2026-round_of_32-14,,,wc2026-quarter_final-04,,unresolved,placeholder_needs_official_confirmation,wiki_main_2026_world_cup,2026-05-23
wc2026-round_of_16-08,fifa-world-cup-2026,round_of_16,8,,winner_wc2026-round_of_32-15,winner_wc2026-round_of_32-16,,,wc2026-quarter_final-04,,unresolved,placeholder_needs_official_confirmation,wiki_main_2026_world_cup,2026-05-23
wc2026-quarter_final-01,fifa-world-cup-2026,quarter_final,1,,winner_wc2026-round_of_16-01,winner_wc2026-round_of_16-02,,,wc2026-semi_final-01,,unresolved,placeholder_needs_official_confirmation,wiki_main_2026_world_cup,2026-05-23
wc2026-quarter_final-02,fifa-world-cup-2026,quarter_final,2,,winner_wc2026-round_of_16-03,winner_wc2026-round_of_16-04,,,wc2026-semi_final-01,,unresolved,placeholder_needs_official_confirmation,wiki_main_2026_world_cup,2026-05-23
wc2026-quarter_final-03,fifa-world-cup-2026,quarter_final,3,,winner_wc2026-round_of_16-05,winner_wc2026-round_of_16-06,,,wc2026-semi_final-02,,unresolved,placeholder_needs_official_confirmation,wiki_main_2026_world_cup,2026-05-23
wc2026-quarter_final-04,fifa-world-cup-2026,quarter_final,4,,winner_wc2026-round_of_16-07,winner_wc2026-round_of_16-08,,,wc2026-semi_final-02,,unresolved,placeholder_needs_official_confirmation,wiki_main_2026_world_cup,2026-05-23
wc2026-semi_final-01,fifa-world-cup-2026,semi_final,1,,winner_wc2026-quarter_final-01,winner_wc2026-quarter_final-02,,,wc2026-final-01,,unresolved,placeholder_needs_official_confirmation,wiki_main_2026_world_cup,2026-05-23
wc2026-semi_final-02,fifa-world-cup-2026,semi_final,2,,winner_wc2026-quarter_final-03,winner_wc2026-quarter_final-04,,,wc2026-final-01,,unresolved,placeholder_needs_official_confirmation,wiki_main_2026_world_cup,2026-05-23
wc2026-third_place-01,fifa-world-cup-2026,third_place,1,,loser_wc2026-semi_final-01,loser_wc2026-semi_final-02,,,,,unresolved,placeholder_needs_official_confirmation,wiki_main_2026_world_cup,2026-05-23
wc2026-final-01,fifa-world-cup-2026,final,1,,winner_wc2026-semi_final-01,winner_wc2026-semi_final-02,,,,,unresolved,placeholder_needs_official_confirmation,wiki_main_2026_world_cup,2026-05-23
