sourceId,name,url,accessedAt,usage
wiki_main_2026_world_cup,2026 FIFA World Cup,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup,2026-05-23,"competition metadata, draw/schedule context, bracket caveats"
wiki_group_a,2026 FIFA World Cup Group A,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A,2026-05-23,Group A teams/date range
wiki_group_b,2026 FIFA World Cup Group B,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_B,2026-05-23,Group B teams/date range
wiki_group_c,2026 FIFA World Cup Group C,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_C,2026-05-23,Group C teams/date range
wiki_group_d,2026 FIFA World Cup Group D,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_D,2026-05-23,Group D teams/date range
wiki_group_e,2026 FIFA World Cup Group E,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_E,2026-05-23,Group E teams/date range
wiki_group_f,2026 FIFA World Cup Group F,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_F,2026-05-23,Group F teams/date range
wiki_group_g,2026 FIFA World Cup Group G,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_G,2026-05-23,Group G teams/date range
wiki_group_h,2026 FIFA World Cup Group H,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_H,2026-05-23,Group H teams/date range
wiki_group_i,2026 FIFA World Cup Group I,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_I,2026-05-23,Group I teams/date range
wiki_group_j,2026 FIFA World Cup Group J,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_J,2026-05-23,Group J teams/date range
wiki_group_k,2026 FIFA World Cup Group K,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_K,2026-05-23,Group K teams/date range
wiki_group_l,2026 FIFA World Cup Group L,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_L,2026-05-23,Group L teams/date range
wiki_squads,2026 FIFA World Cup squads,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-23,squad lifecycle constraints and roster deadline context
times_of_india_squad_tracker,FIFA 2026 World Cup squads tracker,https://timesofindia.indiatimes.com/sports/football/top-stories/fifa-2026-world-cup-squads-tracker-every-team-announced-so-far-latest-roster-reveals-and-updates/articleshow/131265328.cms,2026-05-23,current squad announcement volatility and June 1 final roster deadline
