squadId,seasonId,teamId,status,announcedAt,sourceName,sourceUrl,sourceId,sourceLastCheckedAt,players,notes
wc2026-mexico-squad,fifa-world-cup-2026,wc2026-mexico,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-south-africa-squad,fifa-world-cup-2026,wc2026-south-africa,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-south-korea-squad,fifa-world-cup-2026,wc2026-south-korea,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-czechia-squad,fifa-world-cup-2026,wc2026-czechia,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-canada-squad,fifa-world-cup-2026,wc2026-canada,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-bosnia-and-herzegovina-squad,fifa-world-cup-2026,wc2026-bosnia-and-herzegovina,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-qatar-squad,fifa-world-cup-2026,wc2026-qatar,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-switzerland-squad,fifa-world-cup-2026,wc2026-switzerland,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-brazil-squad,fifa-world-cup-2026,wc2026-brazil,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-morocco-squad,fifa-world-cup-2026,wc2026-morocco,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-haiti-squad,fifa-world-cup-2026,wc2026-haiti,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-scotland-squad,fifa-world-cup-2026,wc2026-scotland,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-united-states-squad,fifa-world-cup-2026,wc2026-united-states,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-paraguay-squad,fifa-world-cup-2026,wc2026-paraguay,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-australia-squad,fifa-world-cup-2026,wc2026-australia,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-turkey-squad,fifa-world-cup-2026,wc2026-turkey,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-germany-squad,fifa-world-cup-2026,wc2026-germany,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-curacao-squad,fifa-world-cup-2026,wc2026-curacao,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-ivory-coast-squad,fifa-world-cup-2026,wc2026-ivory-coast,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-ecuador-squad,fifa-world-cup-2026,wc2026-ecuador,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-netherlands-squad,fifa-world-cup-2026,wc2026-netherlands,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-japan-squad,fifa-world-cup-2026,wc2026-japan,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-sweden-squad,fifa-world-cup-2026,wc2026-sweden,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
